"","Reason","year","Age","Male","Female","Total"
"77","Job Seeking",2004,"Total",0,0,0
"78","Job Seeking",2005,"Total",0,0,0
"79","Job Seeking",2006,"Total",0,0,0
"80","Job Seeking",2007,"Total",0,0,0
"81","Job Seeking",2008,"Total",0,0,0
"82","Job Seeking",2009,"Total",0,1,1
"83","Job Seeking",2010,"Total",4,3,7
"84","Job Seeking",2011,"Total",11,7,18
"85","Job Seeking",2012,"Total",41,46,87
"86","Job Seeking",2013,"Total",78,112,190
"87","Job Seeking",2014,"Total",88,112,200
"88","Job Seeking",2015,"Total",87,112,199
"89","Job Seeking",2016,"Total",86,149,235
"90","Job Seeking",2017,"Total",85,119,204
"91","Job Seeking",2018,"Total",117,178,295
"92","Job Seeking",2019,"Total",118,119,237
"93","study",2000,"Total",899,803,1702
"94","study",2001,"Total",1085,1081,2166
"95","study",2002,"Total",1428,1521,2949
"96","study",2003,"Total",2037,2078,4115
"97","study",2004,"Total",3402,3382,6784
"98","study",2005,"Total",4415,4408,8823
"99","study",2006,"Total",6275,6450,12725
"100","study",2007,"Total",7079,7794,14873
"101","study",2008,"Total",6627,8076,14703
"102","study",2009,"Total",6289,8556,14845
"103","study",2010,"Total",6745,10019,16764
"104","study",2011,"Total",6216,9418,15634
"105","study",2012,"Total",6262,9093,15355
"106","study",2013,"Total",7216,11935,19151
"107","study",2014,"Total",7736,14195,21931
"108","study",2015,"Total",8085,15307,23392
"109","study",2016,"Total",9183,18088,27271
"110","study",2017,"Total",10132,18058,28190
"111","study",2018,"Total",13000,22476,35476
"112","study",2019,"Total",13416,21922,35338
"113","General Trainees",2000,"Total",621,578,1199
"114","General Trainees",2001,"Total",746,752,1498
"115","General Trainees",2002,"Total",746,677,1423
"116","General Trainees",2003,"Total",999,908,1907
"117","General Trainees",2004,"Total",1790,1726,3516
"118","General Trainees",2005,"Total",2262,2146,4408
"119","General Trainees",2006,"Total",4396,4069,8465
"120","General Trainees",2007,"Total",7143,6430,13573
"121","General Trainees",2008,"Total",6817,6782,13599
"122","General Trainees",2009,"Total",5119,5776,10895
"123","General Trainees",2010,"Total",5375,6474,11849
"124","General Trainees",2011,"Total",6397,6940,13337
"125","General Trainees",2012,"Total",5579,6635,12214
"126","General Trainees",2013,"Total",5414,7042,12456
"127","General Trainees",2014,"Total",6220,8870,15090
"128","General Trainees",2015,"Total",7146,9881,17027
"129","General Trainees",2016,"Total",11337,13988,25325
"130","General Trainees",2017,"Total",14688,15147,29835
"131","General Trainees",2018,"Total",16790,16555,33345
"132","General Trainees",2019,"Total",13934,16214,30148
"133","Religious Activities",2000,"Total",329,198,527
"134","Religious Activities",2001,"Total",358,279,637
"135","Religious Activities",2002,"Total",344,235,579
"136","Religious Activities",2003,"Total",327,196,523
"137","Religious Activities",2004,"Total",332,182,514
"138","Religious Activities",2005,"Total",352,233,585
"139","Religious Activities",2006,"Total",397,246,643
"140","Religious Activities",2007,"Total",399,263,662
"141","Religious Activities",2008,"Total",374,258,632
"142","Religious Activities",2009,"Total",263,215,478
"143","Religious Activities",2010,"Total",308,227,535
"144","Religious Activities",2011,"Total",263,228,491
"145","Religious Activities",2012,"Total",639,1512,2151
"146","Religious Activities",2013,"Total",380,287,667
"147","Religious Activities",2014,"Total",355,221,576
"148","Religious Activities",2015,"Total",268,256,524
"149","Religious Activities",2016,"Total",299,268,567
"150","Religious Activities",2017,"Total",266,253,519
"151","Religious Activities",2018,"Total",206,241,447
"152","Religious Activities",2019,"Total",196,226,422
"153","Investors",2000,"Total",1201,690,1891
"154","Investors",2001,"Total",1225,392,1617
"155","Investors",2002,"Total",1097,117,1214
"156","Investors",2003,"Total",942,94,1036
"157","Investors",2004,"Total",978,167,1145
"158","Investors",2005,"Total",1244,230,1474
"159","Investors",2006,"Total",788,107,895
"160","Investors",2007,"Total",911,90,1001
"161","Investors",2008,"Total",912,108,1020
"162","Investors",2009,"Total",754,59,813
"163","Investors",2010,"Total",789,84,873
"164","Investors",2011,"Total",766,74,840
"165","Investors",2012,"Total",749,44,793
"166","Investors",2013,"Total",854,67,921
"167","Investors",2014,"Total",539,54,593
"168","Investors",2015,"Total",515,50,565
"169","Investors",2016,"Total",660,57,717
"170","Investors",2017,"Total",450,51,501
"171","Investors",2018,"Total",543,60,603
"172","Investors",2019,"Total",505,84,589
"173","Trade and Business",2000,"Total",323,13,336
"174","Trade and Business",2001,"Total",472,14,486
"175","Trade and Business",2002,"Total",505,13,518
"176","Trade and Business",2003,"Total",529,19,548
"177","Trade and Business",2004,"Total",523,18,541
"178","Trade and Business",2005,"Total",745,19,764
"179","Trade and Business",2006,"Total",579,7,586
"180","Trade and Business",2007,"Total",634,13,647
"181","Trade and Business",2008,"Total",708,16,724
"182","Trade and Business",2009,"Total",802,17,819
"183","Trade and Business",2010,"Total",894,28,922
"184","Trade and Business",2011,"Total",1079,46,1125
"185","Trade and Business",2012,"Total",1173,40,1213
"186","Trade and Business",2013,"Total",1572,71,1643
"187","Trade and Business",2014,"Total",1690,81,1771
"188","Trade and Business",2015,"Total",1328,65,1393
"189","Trade and Business",2016,"Total",1055,52,1107
"190","Trade and Business",2017,"Total",671,44,715
"191","Trade and Business",2018,"Total",614,36,650
"192","Trade and Business",2019,"Total",609,43,652
"193","Research",2000,"Total",397,74,471
"194","Research",2001,"Total",465,91,556
"195","Research",2002,"Total",560,83,643
"196","Research",2003,"Total",587,104,691
"197","Research",2004,"Total",628,120,748
"198","Research",2005,"Total",624,107,731
"199","Research",2006,"Total",677,135,812
"200","Research",2007,"Total",659,122,781
"201","Research",2008,"Total",482,98,580
"202","Research",2009,"Total",469,81,550
"203","Research",2010,"Total",595,97,692
"204","Research",2011,"Total",639,103,742
"205","Research",2012,"Total",659,103,762
"206","Research",2013,"Total",764,117,881
"207","Research",2014,"Total",668,90,758
"208","Research",2015,"Total",573,102,675
"209","Research",2016,"Total",744,108,852
"210","Research",2017,"Total",593,108,701
"211","Research",2018,"Total",660,108,768
"212","Research",2019,"Total",569,105,674
"213","Art and Entertainment",2000,"Total",626,4121,4747
"214","Art and Entertainment",2001,"Total",737,4863,5600
"215","Art and Entertainment",2002,"Total",796,3719,4515
"216","Art and Entertainment",2003,"Total",743,2436,3179
"217","Art and Entertainment",2004,"Total",804,2146,2950
"218","Art and Entertainment",2005,"Total",938,2633,3571
"219","Art and Entertainment",2006,"Total",876,2035,2911
"220","Art and Entertainment",2007,"Total",733,1945,2678
"221","Art and Entertainment",2008,"Total",811,2224,3035
"222","Art and Entertainment",2009,"Total",545,2235,2780
"223","Art and Entertainment",2010,"Total",633,1916,2549
"224","Art and Entertainment",2011,"Total",622,1319,1941
"225","Art and Entertainment",2012,"Total",642,1830,2472
"226","Art and Entertainment",2013,"Total",612,1811,2423
"227","Art and Entertainment",2014,"Total",663,1853,2516
"228","Art and Entertainment",2015,"Total",580,1539,2119
"229","Art and Entertainment",2016,"Total",561,1014,1575
"230","Art and Entertainment",2017,"Total",522,590,1112
"231","Art and Entertainment",2018,"Total",542,636,1178
"232","Art and Entertainment",2019,"Total",536,762,1298
"233","Unskilled Employment",2000,"Total",0,0,0
"234","Unskilled Employment",2001,"Total",0,0,0
"235","Unskilled Employment",2002,"Total",0,0,0
"236","Unskilled Employment",2003,"Total",1066,399,1465
"237","Unskilled Employment",2004,"Total",4533,1316,5849
"238","Unskilled Employment",2005,"Total",27426,4061,31487
"239","Unskilled Employment",2006,"Total",25151,3730,28881
"240","Unskilled Employment",2007,"Total",27481,2732,30213
"241","Unskilled Employment",2008,"Total",41418,4476,45894
"242","Unskilled Employment",2009,"Total",21874,2173,24047
"243","Unskilled Employment",2010,"Total",31898,2964,34862
"244","Unskilled Employment",2011,"Total",45342,4771,50113
"245","Unskilled Employment",2012,"Total",49728,4817,54545
"246","Unskilled Employment",2013,"Total",54421,5101,59522
"247","Unskilled Employment",2014,"Total",48697,4522,53219
"248","Unskilled Employment",2015,"Total",47582,4585,52167
"249","Unskilled Employment",2016,"Total",54999,5539,60538
"250","Unskilled Employment",2017,"Total",46703,4638,51341
"251","Unskilled Employment",2018,"Total",50390,4109,54499
"252","Unskilled Employment",2019,"Total",49494,3905,53399
"253","Visiting and Joining Family",2000,"Total",2462,6132,8594
"254","Visiting and Joining Family",2001,"Total",2498,9625,12123
"255","Visiting and Joining Family",2002,"Total",2682,6608,9290
"256","Visiting and Joining Family",2003,"Total",5672,5665,11337
"257","Visiting and Joining Family",2004,"Total",9617,8628,18245
"258","Visiting and Joining Family",2005,"Total",26703,24501,51204
"259","Visiting and Joining Family",2006,"Total",46391,38009,84400
"260","Visiting and Joining Family",2007,"Total",9173,8495,17668
"261","Visiting and Joining Family",2008,"Total",2794,2760,5554
"262","Visiting and Joining Family",2009,"Total",2631,2704,5335
"263","Visiting and Joining Family",2010,"Total",4404,4006,8410
"264","Visiting and Joining Family",2011,"Total",3337,3618,6955
"265","Visiting and Joining Family",2012,"Total",2627,4505,7132
"266","Visiting and Joining Family",2013,"Total",2629,5055,7684
"267","Visiting and Joining Family",2014,"Total",2763,5328,8091
"268","Visiting and Joining Family",2015,"Total",3671,6723,10394
"269","Visiting and Joining Family",2016,"Total",6535,10660,17195
"270","Visiting and Joining Family",2017,"Total",7265,10538,17803
"271","Visiting and Joining Family",2018,"Total",7559,10618,18177
"272","Visiting and Joining Family",2019,"Total",8239,12254,20493
"273","Overseas Koreans",2000,"Total",669,589,1258
"274","Overseas Koreans",2001,"Total",803,781,1584
"275","Overseas Koreans",2002,"Total",1106,1033,2139
"276","Overseas Koreans",2003,"Total",1157,1033,2190
"277","Overseas Koreans",2004,"Total",1120,1124,2244
"278","Overseas Koreans",2005,"Total",1263,1357,2620
"279","Overseas Koreans",2006,"Total",1264,1391,2655
"280","Overseas Koreans",2007,"Total",1465,1731,3196
"281","Overseas Koreans",2008,"Total",1947,2251,4198
"282","Overseas Koreans",2009,"Total",2390,2552,4942
"283","Overseas Koreans",2010,"Total",7206,8323,15529
"284","Overseas Koreans",2011,"Total",10058,10941,20999
"285","Overseas Koreans",2012,"Total",9324,10156,19480
"286","Overseas Koreans",2013,"Total",13936,14651,28587
"287","Overseas Koreans",2014,"Total",18788,22014,40802
"288","Overseas Koreans",2015,"Total",21165,24452,45617
"289","Overseas Koreans",2016,"Total",24324,27176,51500
"290","Overseas Koreans",2017,"Total",24390,27563,51953
"291","Overseas Koreans",2018,"Total",25604,29278,54882
"292","Overseas Koreans",2019,"Total",24401,28335,52736
"293","Permanent Residence",2000,"Total",0,0,0
"294","Permanent Residence",2001,"Total",0,0,0
"295","Permanent Residence",2002,"Total",7,7,14
"296","Permanent Residence",2003,"Total",141,105,246
"297","Permanent Residence",2004,"Total",228,191,419
"298","Permanent Residence",2005,"Total",215,205,420
"299","Permanent Residence",2006,"Total",194,164,358
"300","Permanent Residence",2007,"Total",208,260,468
"301","Permanent Residence",2008,"Total",241,345,586
"302","Permanent Residence",2009,"Total",231,379,610
"303","Permanent Residence",2010,"Total",526,666,1192
"304","Permanent Residence",2011,"Total",1258,1483,2741
"305","Permanent Residence",2012,"Total",1813,2115,3928
"306","Permanent Residence",2013,"Total",2328,2734,5062
"307","Permanent Residence",2014,"Total",2532,2977,5509
"308","Permanent Residence",2015,"Total",2580,3210,5790
"309","Permanent Residence",2016,"Total",2555,3269,5824
"310","Permanent Residence",2017,"Total",2543,3378,5921
"311","Permanent Residence",2018,"Total",2600,3504,6104
"312","Permanent Residence",2019,"Total",2534,3634,6168
"313","Marriage Immigration",2011,"Total",58,725,783
"314","Marriage Immigration",2012,"Total",1547,15454,17001
"315","Marriage Immigration",2013,"Total",1576,14314,15890
"316","Marriage Immigration",2014,"Total",1440,10764,12204
"317","Marriage Immigration",2015,"Total",1257,10213,11470
"318","Marriage Immigration",2016,"Total",1412,10802,12214
"319","Marriage Immigration",2017,"Total",1371,10308,11679
"320","Marriage Immigration",2018,"Total",1560,10997,12557
"321","Marriage Immigration",2019,"Total",1755,11641,13396
"322","Total",2000,"0 s",899,862,1761
"323","Total",2001,"0 s",1059,995,2054
"324","Total",2002,"0 s",1361,1111,2472
"325","Total",2003,"0 s",1543,1209,2752
"326","Total",2004,"0 s",1620,1343,2963
"327","Total",2005,"0 s",1540,1372,2912
"328","Total",2006,"0 s",1474,1200,2674
"329","Total",2007,"0 s",1783,1587,3370
"330","Total",2008,"0 s",2115,1841,3956
"331","Total",2009,"0 s",2017,1723,3740
"332","Total",2010,"0 s",2003,1842,3845
"333","Total",2011,"0 s",1768,1693,3461
"334","Total",2012,"0 s",1899,1788,3687
"335","Total",2013,"0 s",2181,1923,4104
"336","Total",2014,"0 s",2090,1984,4074
"337","Total",2015,"0 s",2143,2029,4172
"338","Total",2016,"0 s",1954,1778,3732
"339","Total",2017,"0 s",1891,1735,3626
"340","Total",2018,"0 s",1909,1735,3644
"341","Total",2019,"0 s",1911,1797,3708
"342","Sightseeing Pass",2000,"0 s",282,288,570
"343","Sightseeing Pass",2001,"0 s",389,341,730
"344","Sightseeing Pass",2002,"0 s",511,425,936
"345","Sightseeing Pass",2003,"0 s",685,517,1202
"346","Sightseeing Pass",2004,"0 s",863,695,1558
"347","Sightseeing Pass",2005,"0 s",869,785,1654
"348","Sightseeing Pass",2006,"0 s",843,733,1576
"349","Sightseeing Pass",2007,"0 s",1195,1021,2216
"350","Sightseeing Pass",2008,"0 s",1442,1222,2664
"351","Sightseeing Pass",2009,"0 s",1499,1234,2733
"352","Sightseeing Pass",2010,"0 s",1482,1329,2811
"353","Sightseeing Pass",2011,"0 s",1247,1183,2430
"354","Sightseeing Pass",2012,"0 s",1270,1191,2461
"355","Sightseeing Pass",2013,"0 s",1381,1184,2565
"356","Sightseeing Pass",2014,"0 s",1271,1183,2454
"357","Sightseeing Pass",2015,"0 s",1215,1076,2291
"358","Sightseeing Pass",2016,"0 s",1006,938,1944
"359","Sightseeing Pass",2017,"0 s",960,888,1848
"360","Sightseeing Pass",2018,"0 s",1028,903,1931
"361","Sightseeing Pass",2019,"0 s",997,899,1896
"362","Short-term Business",2000,"0 s",1,2,3
"363","Short-term Business",2001,"0 s",1,1,2
"364","Short-term Business",2002,"0 s",2,3,5
"365","Short-term Business",2003,"0 s",3,2,5
"366","Short-term Business",2004,"0 s",2,2,4
"367","Short-term Business",2005,"0 s",5,1,6
"368","Short-term Business",2006,"0 s",4,3,7
"369","Short-term Business",2007,"0 s",3,3,6
"370","Short-term Business",2008,"0 s",0,1,1
"371","Short-term Business",2009,"0 s",3,2,5
"372","Short-term Business",2010,"0 s",1,1,2
"373","Short-term Business",2011,"0 s",1,2,3
"374","Short-term Visitors",2000,"0 s",171,162,333
"375","Short-term Visitors",2001,"0 s",205,185,390
"376","Short-term Visitors",2002,"0 s",257,166,423
"377","Short-term Visitors",2003,"0 s",238,227,465
"378","Short-term Visitors",2004,"0 s",222,202,424
"379","Short-term Visitors",2005,"0 s",233,193,426
"380","Short-term Visitors",2006,"0 s",207,169,376
"381","Short-term Visitors",2007,"0 s",216,234,450
"382","Short-term Visitors",2008,"0 s",304,288,592
"383","Short-term Visitors",2009,"0 s",170,154,324
"384","Short-term Visitors",2010,"0 s",166,163,329
"385","Short-term Visitors",2011,"0 s",234,246,480
"386","Short-term Visitors",2012,"0 s",307,266,573
"387","Short-term Visitors",2013,"0 s",427,409,836
"388","Short-term Visitors",2014,"0 s",380,370,750
"389","Short-term Visitors",2015,"0 s",478,479,957
"390","Short-term Visitors",2016,"0 s",442,402,844
"391","Short-term Visitors",2017,"0 s",404,333,737
"392","Short-term Visitors",2018,"0 s",327,319,646
"393","Short-term Visitors",2019,"0 s",272,285,557
"394","Short-term Employment",2000,"0 s",0,0,0
"395","Short-term Employment",2001,"0 s",0,0,0
"396","Short-term Employment",2002,"0 s",0,0,0
"397","Short-term Employment",2003,"0 s",0,0,0
"398","Short-term Employment",2004,"0 s",0,0,0
"399","Short-term Employment",2005,"0 s",0,0,0
"400","Short-term Employment",2006,"0 s",0,0,0
"401","Short-term Employment",2007,"0 s",0,0,0
"402","Short-term Employment",2008,"0 s",0,0,0
"403","Short-term Employment",2009,"0 s",0,0,0
"404","Short-term Employment",2010,"0 s",0,0,0
"405","Job Seeking",2000,"0 s",0,0,0
"406","Job Seeking",2001,"0 s",0,0,0
"407","Job Seeking",2002,"0 s",0,0,0
"408","Job Seeking",2003,"0 s",0,0,0
"409","Job Seeking",2004,"0 s",0,0,0
"410","Job Seeking",2005,"0 s",0,0,0
"411","Job Seeking",2006,"0 s",0,0,0
"412","Job Seeking",2007,"0 s",0,0,0
"413","Job Seeking",2008,"0 s",0,0,0
"414","Job Seeking",2009,"0 s",0,0,0
"415","Job Seeking",2010,"0 s",0,0,0
"416","study",2000,"0 s",0,0,0
"417","study",2001,"0 s",0,0,0
"418","study",2002,"0 s",1,0,1
"419","study",2003,"0 s",0,0,0
"420","study",2004,"0 s",1,0,1
"421","study",2005,"0 s",0,0,0
"422","study",2006,"0 s",1,0,1
"423","study",2007,"0 s",0,0,0
"424","study",2008,"0 s",0,0,0
"425","study",2009,"0 s",0,0,0
"426","study",2010,"0 s",0,0,0
"427","General Trainees",2000,"0 s",1,0,1
"428","General Trainees",2001,"0 s",0,0,0
"429","General Trainees",2002,"0 s",0,0,0
"430","General Trainees",2003,"0 s",0,0,0
"431","General Trainees",2004,"0 s",0,0,0
"432","General Trainees",2005,"0 s",0,0,0
"433","General Trainees",2006,"0 s",1,0,1
"434","General Trainees",2007,"0 s",0,0,0
"435","General Trainees",2008,"0 s",0,0,0
"436","General Trainees",2009,"0 s",0,0,0
"437","General Trainees",2010,"0 s",0,0,0
"438","Religious Activities",2000,"0 s",0,0,0
"439","Religious Activities",2001,"0 s",0,0,0
"440","Religious Activities",2002,"0 s",0,0,0
"441","Religious Activities",2003,"0 s",0,0,0
"442","Religious Activities",2004,"0 s",0,0,0
"443","Religious Activities",2005,"0 s",0,0,0
"444","Religious Activities",2006,"0 s",0,0,0
"445","Religious Activities",2007,"0 s",0,0,0
"446","Religious Activities",2008,"0 s",0,0,0
"447","Religious Activities",2009,"0 s",0,0,0
"448","Religious Activities",2010,"0 s",0,0,0
"449","Investors",2000,"0 s",0,0,0
"450","Investors",2001,"0 s",3,1,4
"451","Investors",2002,"0 s",1,0,1
"452","Investors",2003,"0 s",0,0,0
"453","Investors",2004,"0 s",2,0,2
"454","Investors",2005,"0 s",3,0,3
"455","Investors",2006,"0 s",2,0,2
"456","Investors",2007,"0 s",0,0,0
"457","Investors",2008,"0 s",0,0,0
"458","Investors",2009,"0 s",0,0,0
"459","Investors",2010,"0 s",0,0,0
"460","Trade and Business",2000,"0 s",0,0,0
"461","Trade and Business",2001,"0 s",0,0,0
"462","Trade and Business",2002,"0 s",0,0,0
"463","Trade and Business",2003,"0 s",0,0,0
"464","Trade and Business",2004,"0 s",0,0,0
"465","Trade and Business",2005,"0 s",0,0,0
"466","Trade and Business",2006,"0 s",1,0,1
"467","Trade and Business",2007,"0 s",0,0,0
"468","Trade and Business",2008,"0 s",0,0,0
"469","Trade and Business",2009,"0 s",0,0,0
"470","Trade and Business",2010,"0 s",0,0,0
"471","Research",2000,"0 s",0,0,0
"472","Research",2001,"0 s",0,0,0
"473","Research",2002,"0 s",0,0,0
"474","Research",2003,"0 s",0,2,2
"475","Research",2004,"0 s",0,0,0
"476","Research",2005,"0 s",0,0,0
"477","Research",2006,"0 s",0,0,0
"478","Research",2007,"0 s",0,0,0
"479","Research",2008,"0 s",0,0,0
"480","Research",2009,"0 s",0,0,0
"481","Research",2010,"0 s",0,0,0
"482","Art and Entertainment",2000,"0 s",0,1,1
"483","Art and Entertainment",2001,"0 s",0,2,2
"484","Art and Entertainment",2002,"0 s",0,0,0
"485","Art and Entertainment",2003,"0 s",0,0,0
"486","Art and Entertainment",2004,"0 s",0,1,1
"487","Art and Entertainment",2005,"0 s",0,0,0
"488","Art and Entertainment",2006,"0 s",0,0,0
"489","Art and Entertainment",2007,"0 s",0,0,0
"490","Art and Entertainment",2008,"0 s",0,0,0
"491","Art and Entertainment",2009,"0 s",0,0,0
"492","Art and Entertainment",2010,"0 s",0,0,0
"493","Unskilled Employment",2000,"0 s",0,0,0
"494","Unskilled Employment",2001,"0 s",0,0,0
"495","Unskilled Employment",2002,"0 s",0,0,0
"496","Unskilled Employment",2003,"0 s",0,0,0
"497","Unskilled Employment",2004,"0 s",0,1,1
"498","Unskilled Employment",2005,"0 s",2,0,2
"499","Unskilled Employment",2006,"0 s",2,0,2
"500","Unskilled Employment",2007,"0 s",0,0,0
"501","Unskilled Employment",2008,"0 s",0,0,0
"502","Unskilled Employment",2009,"0 s",0,0,0
"503","Unskilled Employment",2010,"0 s",0,0,0
"504","Unskilled Employment",2012,"0 s",1,NA,1
"505","Visiting and Joining Family",2000,"0 s",321,284,605
"506","Visiting and Joining Family",2001,"0 s",334,344,678
"507","Visiting and Joining Family",2002,"0 s",435,381,816
"508","Visiting and Joining Family",2003,"0 s",458,316,774
"509","Visiting and Joining Family",2004,"0 s",332,270,602
"510","Visiting and Joining Family",2005,"0 s",251,220,471
"511","Visiting and Joining Family",2006,"0 s",249,154,403
"512","Visiting and Joining Family",2007,"0 s",201,169,370
"513","Visiting and Joining Family",2008,"0 s",190,161,351
"514","Visiting and Joining Family",2009,"0 s",175,143,318
"515","Visiting and Joining Family",2010,"0 s",133,122,255
"516","Visiting and Joining Family",2011,"0 s",56,58,114
"517","Visiting and Joining Family",2012,"0 s",41,44,85
"518","Visiting and Joining Family",2013,"0 s",60,46,106
"519","Visiting and Joining Family",2014,"0 s",75,81,156
"520","Visiting and Joining Family",2015,"0 s",90,86,176
"521","Visiting and Joining Family",2016,"0 s",136,125,261
"522","Visiting and Joining Family",2017,"0 s",172,183,355
"523","Visiting and Joining Family",2018,"0 s",181,182,363
"524","Visiting and Joining Family",2019,"0 s",241,237,478
"525","Overseas Koreans",2000,"0 s",18,17,35
"526","Overseas Koreans",2001,"0 s",10,9,19
"527","Overseas Koreans",2002,"0 s",8,7,15
"528","Overseas Koreans",2003,"0 s",7,2,9
"529","Overseas Koreans",2004,"0 s",2,3,5
"530","Overseas Koreans",2005,"0 s",0,4,4
"531","Overseas Koreans",2006,"0 s",3,2,5
"532","Overseas Koreans",2007,"0 s",2,3,5
"533","Overseas Koreans",2008,"0 s",4,2,6
"534","Overseas Koreans",2009,"0 s",5,5,10
"535","Overseas Koreans",2010,"0 s",12,17,29
"536","Overseas Koreans",2011,"0 s",16,13,29
"537","Overseas Koreans",2012,"0 s",8,7,15
"538","Overseas Koreans",2013,"0 s",2,6,8
"539","Overseas Koreans",2014,"0 s",5,4,9
"540","Overseas Koreans",2015,"0 s",3,5,8
"541","Overseas Koreans",2016,"0 s",9,4,13
"542","Overseas Koreans",2017,"0 s",3,5,8
"543","Overseas Koreans",2018,"0 s",2,3,5
"544","Overseas Koreans",2019,"0 s",7,6,13
"545","Permanent Residence",2000,"0 s",0,0,0
"546","Permanent Residence",2001,"0 s",0,0,0
"547","Permanent Residence",2002,"0 s",0,0,0
"548","Permanent Residence",2003,"0 s",1,1,2
"549","Permanent Residence",2004,"0 s",1,2,3
"550","Permanent Residence",2005,"0 s",0,0,0
"551","Permanent Residence",2006,"0 s",2,0,2
"552","Permanent Residence",2007,"0 s",1,0,1
"553","Permanent Residence",2008,"0 s",2,1,3
"554","Permanent Residence",2009,"0 s",1,0,1
"555","Permanent Residence",2010,"0 s",2,1,3
"556","Permanent Residence",2011,"0 s",1,2,3
"557","Permanent Residence",2012,"0 s",8,6,14
"558","Permanent Residence",2013,"0 s",16,19,35
"559","Permanent Residence",2014,"0 s",17,20,37
"560","Permanent Residence",2015,"0 s",34,24,58
"561","Permanent Residence",2016,"0 s",16,19,35
